county,date,state,cases,deaths
San Francisco,2020-04-01,California,437,7.0
Cook,2020-04-01,Georgia,1,0.0
Cook,2020-04-01,Illinois,5152,95.0
San Francisco,2020-04-02,California,450,7.0
Cook,2020-04-02,Georgia,1,0.0
Cook,2020-04-02,Illinois,5575,107.0
San Francisco,2020-04-03,California,500,7.0
Cook,2020-04-03,Georgia,1,0.0
Cook,2020-04-03,Illinois,6473,141.0
San Francisco,2020-04-04,California,529,8.0
Cook,2020-04-04,Georgia,1,0.0
Cook,2020-04-04,Illinois,7439,167.0
San Francisco,2020-04-05,California,571,8.0
Cook,2020-04-05,Georgia,1,0.0
Cook,2020-04-05,Illinois,8043,186.0
San Francisco,2020-04-06,California,586,9.0
Cook,2020-04-06,Georgia,2,0.0
Cook,2020-04-06,Illinois,8728,209.0
San Francisco,2020-04-07,California,622,9.0
Cook,2020-04-07,Georgia,4,0.0
Cook,2020-04-07,Illinois,9509,249.0
San Francisco,2020-04-08,California,679,10.0
Cook,2020-04-08,Georgia,4,0.0
Cook,2020-04-08,Illinois,10520,312.0
San Francisco,2020-04-09,California,727,10.0
Cook,2020-04-09,Georgia,6,0.0
Cook,2020-04-09,Illinois,11415,351.0
San Francisco,2020-04-10,California,800,13.0
Cook,2020-04-10,Georgia,6,0.0
Cook,2020-04-10,Illinois,12472,398.0
San Francisco,2020-04-11,California,860,13.0
Cook,2020-04-11,Georgia,6,0.0
Cook,2020-04-11,Illinois,13417,453.0
San Francisco,2020-04-12,California,875,14.0
Cook,2020-04-12,Georgia,7,0.0
Cook,2020-04-12,Illinois,14585,485.0
San Francisco,2020-04-13,California,960,15.0
Cook,2020-04-13,Georgia,7,0.0
Cook,2020-04-13,Illinois,15474,543.0
San Francisco,2020-04-14,California,990,15.0
Cook,2020-04-14,Georgia,7,0.0
Cook,2020-04-14,Illinois,16323,577.0
San Francisco,2020-04-15,California,1016,17.0
Cook,2020-04-15,Georgia,9,0.0
Cook,2020-04-15,Illinois,17306,630.0
San Francisco,2020-04-16,California,1022,17.0
Cook,2020-04-16,Georgia,11,1.0
Cook,2020-04-16,Illinois,18087,722.0
San Francisco,2020-04-17,California,1061,20.0
Cook,2020-04-17,Georgia,12,1.0
Cook,2020-04-17,Illinois,19391,760.0
San Francisco,2020-04-18,California,1140,20.0
Cook,2020-04-18,Georgia,12,1.0
Cook,2020-04-18,Illinois,20395,860.0
San Francisco,2020-04-19,California,1160,20.0
Cook,2020-04-19,Georgia,12,1.0
Cook,2020-04-19,Illinois,21272,877.0
San Francisco,2020-04-20,California,1219,20.0
Cook,2020-04-20,Georgia,13,1.0
Cook,2020-04-20,Illinois,22101,915.0
San Francisco,2020-04-21,California,1234,20.0
Cook,2020-04-21,Georgia,13,1.0
Cook,2020-04-21,Illinois,23181,1002.0
San Francisco,2020-04-22,California,1236,21.0
Cook,2020-04-22,Georgia,15,1.0
Cook,2020-04-22,Illinois,24546,1072.0
San Francisco,2020-04-23,California,1305,21.0
Cook,2020-04-23,Georgia,15,1.0
Cook,2020-04-23,Illinois,25811,1142.0
San Francisco,2020-04-24,California,1343,22.0
Cook,2020-04-24,Georgia,15,1.0
Cook,2020-04-24,Illinois,27616,1220.0
San Francisco,2020-04-25,California,1357,22.0
Cook,2020-04-25,Georgia,16,1.0
Cook,2020-04-25,Illinois,29058,1267.0
San Francisco,2020-04-26,California,1411,22.0
Cook,2020-04-26,Georgia,17,1.0
Cook,2020-04-26,Illinois,30574,1313.0
San Francisco,2020-04-27,California,1427,23.0
Cook,2020-04-27,Georgia,17,1.0
